Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.sport_type"">Sport Type</span>"
1131108657,"Aug 13, 2017, 7:54:50 AM",Morning Ride,Ride,,8676,41.48,,,false,Luath 700L,activities/1235990526.fit.gz,46.0,15.0,8676.0,7200.0,41483.30078125,12.600000381469727,,347.0,,1.0,171.0,13.300000190734863,0.0028927300591021776,,,145.0,80.77339935302734,,,,112.12799835205078,900.16357421875,,15.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3901712.0,,,,,,,,,,,,,,,,
1142590099,"Aug 20, 2017, 8:19:56 AM",Morning Ride,Ride,,6144,34.70,198.0,134,false,Luath 700L,activities/1247661143.fit.gz,46.0,15.0,6144.0,5746.0,34702.19921875,12.899999618530273,,322.0,,49.79999923706055,213.1999969482422,23.700000762939453,-0.0005763323279097676,,,138.0,77.1291275024414,198.0,168.3417205810547,,121.8788070678711,,,15.0,134.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3901712.0,,,,,,,,,,,,,,,,
1171544242,"Aug 28, 2017, 4:43:19 PM",Afternoon Ride,Ride,,2864,14.93,185.0,24,false,Luath 700L,activities/1276992858.fit.gz,46.0,15.0,2864.0,2609.0,14934.2001953125,11.600000381469727,,30.0,,15.0,88.4000015258789,12.0,-0.427207350730896,,,149.0,68.16702270507812,185.0,148.5599365234375,,102.57886505126953,,,15.0,24.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3901712.0,,,,,,,,,,,,,,,,
1171544471,"Sep 3, 2017, 7:47:05 AM",Morning Ride,Ride,,2289,10.09,190.0,21,false,Luath 700L,activities/1276993111.fit.gz,46.0,15.0,2289.0,1916.0,10089.099609375,13.300000190734863,,21.0,,93.4000015258789,140.0,7.099999904632568,-0.3072623014450073,,,132.0,61.98904800415039,190.0,153.84939575195312,,91.96524810791016,,,13.0,21.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3901712.0,,,,,,,,,,,,,,,,
1187970625,"Sep 10, 2017, 7:46:08 AM",Morning Ride,Ride,,12356,68.51,195.0,97,false,Luath 700L,activities/1293650960.fit.gz,46.0,15.0,12356.0,11002.0,68518.6015625,13.5,,735.0,,21.600000381469727,204.60000610351562,36.400001525878906,0.014594599604606628,,,141.0,74.23880004882812,195.0,159.51199340820312,,124.5790023803711,1528.2392578125,,10.0,97.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3901712.0,,,,,,,,,,,,,,,,
1187970966,"Sep 10, 2017, 5:39:51 AM",Morning Ride,Ride,,2248,11.10,170.0,10,false,Luath 700L,activities/1293651709.fit.gz,46.0,15.0,2248.0,2062.0,11105.7001953125,12.5,,20.0,,34.400001525878906,114.19999694824219,6.900000095367432,-0.6807315349578857,,,138.0,60.63881301879883,170.0,136.98123168945312,,83.30518341064453,,,10.0,10.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3901712.0,,,,,,,,,,,,,,,,
1187971281,"Sep 17, 2017, 9:19:53 AM",Morning Ride,Ride,,3862,24.78,202.0,83,false,Luath 700L,activities/1293651967.fit.gz,46.0,15.0,3862.0,3675.0,24784.400390625,13.300000190734863,,207.0,,45.599998474121094,217.0,12.600000381469727,-0.3962169885635376,,,121.0,73.88965606689453,202.0,167.63723754882812,,145.0234375,,,10.0,83.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3901712.0,,,,,,,,,,,,,,,,
1199202951,"Sep 24, 2017, 8:39:20 AM",Morning Ride,Ride,,112,0.64,171.0,1,false,Luath 700L,activities/1305064701.fit.gz,46.0,15.0,112.0,112.0,639.0,9.399999618530273,,4.0,,13.0,18.0,4.699999809265137,0.0,,,101.0,66.91210174560547,171.0,158.30599975585938,,116.69400024414062,,,11.0,1.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3901712.0,,,,,,,,,,,,,,,,
1199203141,"Sep 23, 2017, 2:35:29 PM",ERC Inch Park CX 2017,Ride,"",1789,6.15,199.0,93,false,Luath 700L,activities/1305064847.fit.gz,46.0,15.0,1789.0,1770.0,6155.5,7.599999904632568,,103.0,,33.0,48.0,45.20000076293945,0.025993013754487038,,,157.0,69.47257995605469,199.0,191.2718963623047,,79.78099822998047,,,16.0,93.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3901712.0,,,,,,,,,,,,,,,,
1199203360,"Sep 24, 2017, 9:39:16 AM",Morning Ride,Ride,,209,1.23,,,false,Luath 700L,activities/1305065111.fit.gz,46.0,15.0,209.0,209.0,1235.5,8.100000381469727,,9.0,,38.0,42.599998474121094,8.699999809265137,0.0,,,115.0,80.1405029296875,,,,109.08300018310547,,,10.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3901712.0,,,,,,,,,,,,,,,,
